PVTTABLE LABEL = "Fluid_characterised",PHASE = THREE,\
!'WATER-OPTION ENTROPY NONEQ 'Example1                            
EOS = "PR 78 Peneloux",\
COMPONENTS = ("H2O","N2","CO2","C1","C2","C3","iC4","nC4","iC5","nC5","C6","C11-C14","C15-C19","C7","C8","C9","C10"),\
MOLES = (.124812E+02,.269617E+00,.140621E+02,.675356E+02,.289751E+01,.985678E+00,.211842E+00,.269617E+00,.147064E+00,.101544E+00,.262614E+00,.224097E+00,.134809E+00,.194334E+00,.122553E+00,.560243E-01,.437690E-01),\
PVTTABLE POINT = (.100000E+06,.204082E+01,.970914E+00,.790550E+03,.999908E+03,.974504E-05,.813920E-06,.502134E-06,-.356919E-02,-.515090E+00,.270066E-01,.951491E+00,.461963E-02,.112172E-04,.278692E-02,.166321E-02,.165558E+04,.185782E+04,.420356E+04,.216302E+04,-.366915E+06,-.249312E+07,.270636E-01,.106361E+00,.572617E+00,.213559E-01,.995783E-01,.503775E-01,.309027E+03,-.701653E+03,-.676735E+04)
PVTTABLE POINT = (.100000E+06,.408163E+01,.964328E+00,.791389E+03,.999934E+03,.967824E-05,.810961E-06,.496939E-06,-.351825E-02,-.510828E+00,-.762148E-03,.952528E+00,.536577E-02,.112838E-04,.281176E-02,.155712E-02,.166132E+04,.186418E+04,.420489E+04,.554464E+04,-.363071E+06,-.248454E+07,.272535E-01,.106131E+00,.576404E+00,.213161E-01,.989293E-01,.500981E-01,.323100E+03,-.686394E+03,-.673629E+04)
PVTTABLE POINT = (.100000E+06,.612245E+01,.957803E+00,.792254E+03,.999904E+03,.961207E-05,.807292E-06,.491774E-06,-.346830E-02,-.506359E+00,-.285427E-01,.953551E+00,.621710E-02,.113497E-04,.283759E-02,.146131E-02,.166709E+04,.187053E+04,.420460E+04,.893804E+04,-.359236E+06,-.247596E+07,.274426E-01,.105929E+00,.580118E+00,.212796E-01,.983124E-01,.498101E-01,.337271E+03,-.671312E+03,-.670545E+04)
PVTTABLE POINT = (.100000E+06,.816327E+01,.951326E+00,.793124E+03,.999818E+03,.954642E-05,.803169E-06,.486729E-06,-.341927E-02,-.501788E+00,-.560265E-01,.954549E+00,.718630E-02,.114151E-04,.286283E-02,.137448E-02,.167288E+04,.187692E+04,.420318E+04,.123434E+05,-.355411E+06,-.246738E+07,.276310E-01,.105753E+00,.583760E+00,.212457E-01,.977299E-01,.495139E-01,.351551E+03,-.656431E+03,-.667484E+04)
PVTTABLE POINT = (.100000E+06,.102041E+02,.944885E+00,.793982E+03,.999676E+03,.948115E-05,.798872E-06,.481868E-06,-.337111E-02,-.497230E+00,-.829917E-01,.955515E+00,.828731E-02,.114797E-04,.288571E-02,.129556E-02,.167869E+04,.188339E+04,.420103E+04,.157608E+05,-.351594E+06,-.245881E+07,.278186E-01,.105599E+00,.587329E+00,.212134E-01,.971848E-01,.492100E-01,.365950E+03,-.641771E+03,-.664447E+04)
PVTTABLE POINT = (.100000E+06,.122449E+02,.938470E+00,.794807E+03,.999480E+03,.941617E-05,.794688E-06,.477237E-06,-.332374E-02,-.492799E+00,-.109285E+00,.956439E+00,.953542E-02,.115438E-04,.290441E-02,.122360E-02,.168453E+04,.188999E+04,.419846E+04,.191906E+05,-.347786E+06,-.245024E+07,.280052E-01,.105462E+00,.590828E+00,.211819E-01,.966802E-01,.488990E-01,.380481E+03,-.627344E+03,-.661433E+04)
PVTTABLE POINT = (.100000E+06,.142857E+02,.932072E+00,.795580E+03,.999231E+03,.935139E-05,.790880E-06,.472864E-06,-.327714E-02,-.488598E+00,-.134804E+00,.957319E+00,.109474E-01,.116071E-04,.291730E-02,.115781E-02,.169041E+04,.189676E+04,.419569E+04,.226329E+05,-.343982E+06,-.244167E+07,.281907E-01,.105339E+00,.594255E+00,.211502E-01,.962199E-01,.485812E-01,.395154E+03,-.613151E+03,-.658442E+04)
PVTTABLE POINT = (.100000E+06,.155600E+02,.928083E+00,.796030E+03,.999049E+03,.931101E-05,.788795E-06,.470273E-06,-.324840E-02,-.486131E+00,-.150318E+00,.957844E+00,.119202E-01,.116462E-04,.292181E-02,.111955E-02,.169409E+04,.190108E+04,.419393E+04,.247887E+05,-.341607E+06,-.243632E+07,.283057E-01,.105268E+00,.596360E+00,.211300E-01,.959567E-01,.483795E-01,.404393E+03,-.604404E+03,-.656586E+04)
PVTTABLE POINT = (.100000E+06,.163265E+02,.925685E+00,.796287E+03,.998930E+03,.928674E-05,.787674E-06,.468767E-06,-.323125E-02,-.484713E+00,-.159489E+00,.958151E+00,.125416E-01,.116696E-04,.292309E-02,.109750E-02,.169631E+04,.190372E+04,.419288E+04,.260879E+05,-.340178E+06,-.243311E+07,.283747E-01,.105227E+00,.597612E+00,.211176E-01,.958079E-01,.482570E-01,.409982E+03,-.599183E+03,-.655475E+04)
PVTTABLE POINT = (.100000E+06,.183673E+02,.919304E+00,.796918E+03,.998580E+03,.922219E-05,.785241E-06,.464956E-06,-.318605E-02,-.481204E+00,-.183307E+00,.958937E+00,.143380E-01,.117314E-04,.292089E-02,.104207E-02,.170223E+04,.191089E+04,.419016E+04,.295558E+05,-.336371E+06,-.242456E+07,.285569E-01,.105123E+00,.600900E+00,.210835E-01,.954485E-01,.479270E-01,.424978E+03,-.585425E+03,-.652530E+04)
